bssid,ssid,signal_strength,channel,frequency,encryption,vendor,timestamp,is_rogue
f1:3e:b2:9e:28:a6,Access_395,-55.0,36,5180,WPA3,TP-Link,2025-12-07 16:07:47,0
92:54:f9:af:50:67,Public_Net,-20.0,2,2417,Open,Suspicious,2025-12-07 16:07:47,1
34:06:22:63:40:83,Admin_465,-61.4,44,5220,WPA3,ASUS,2025-12-07 16:07:47,0
ee:c8:0e:2e:5a:54,MainOffice_608,-49.7,40,5200,WPA2/WPA3,Qualcomm,2025-12-07 16:07:47,0
94:47:30:3f:9d:47,Company_953,-46.8,157,5785,WPA,Amazon,2025-12-07 16:07:47,0
05:00:41:57:e0:d9,Public_Connection,-26.5,2,2417,,Free,2025-12-07 16:07:47,1
ab:66:b8:7a:df:bd,MainOffice_412,-53.7,165,5825,WPA2/WPA3,Microsoft,2025-12-07 16:07:47,0
8a:f4:7c:4b:b8:a4,WLAN_460,-64.2,11,2462,WPA2/WPA3,Meraki,2025-12-07 16:07:47,0
b8:93:14:2a:a7:fc,Guest_127,-51.5,6,2437,WPA3,Xiaomi,2025-12-07 16:07:47,0
fe:be:c4:b0:e2:70,Free_Internet,-31.3,12,2467,WEP,Test,2025-12-07 16:07:47,1
09:95:c5:76:c2:32,LAN_677,-67.1,161,5805,WPA2/WPA3,ASUS,2025-12-07 16:07:47,0
14:8c:5c:76:b4:e9,Main_563,-45.9,153,5765,WPA2,Xiaomi,2025-12-07 16:07:47,0
1d:38:f1:86:0f:10,Admin_874,-44.8,157,5785,WPA2/WPA3,Aruba,2025-12-07 16:07:47,0
a8:a7:c5:a6:e6:cc,Admin_508,-34.7,36,5180,WPA2,Motorola,2025-12-07 16:07:47,0
1e:71:48:81:ef:0f,Main_618,-44.9,1,2412,WPA2,Meraki,2025-12-07 16:07:47,0
71:60:3a:d5:eb:27,Work_349,-44.2,6,2437,WPA3,D-Link,2025-12-07 16:07:47,0
aa:e4:b5:43:5a:a4,Free_Access,-18.1,14,2477,Open,Generic,2025-12-07 16:07:47,1
1f:95:4d:2c:dc:e2,LAN_198,-40.0,40,5200,WPA3,Netgear,2025-12-07 16:07:47,0
03:f8:a1:75:9c:3e,Staff_407,-39.2,40,5200,WPA2,Buffalo,2025-12-07 16:07:47,0
81:43:8f:8c:83:07,Secure_Network_497,-52.4,11,2462,WPA2,Motorola,2025-12-07 16:07:47,0
43:6d:13:71:e9:ef,Admin_535,-54.1,44,5220,WPA3,Motorola,2025-12-07 16:07:47,0
8e:e0:48:b4:96:ee,Public_Access,-29.2,7,2442,,Test,2025-12-07 16:07:47,1
89:a5:7d:2c:8e:e6,Server_631,-46.0,149,5745,WPA,Meraki,2025-12-07 16:07:47,0
09:f1:17:7c:42:07,Secure_Network_948,-72.4,1,2412,WPA3,Xiaomi,2025-12-07 16:07:47,0
